Date,Load Number,Shipper,Carrier,Workflow,Alert,Response Time,Raw Response,Goal,Updated data points on FK,Reminder,Escalated
2024-11-03,4303702750,smithfield-foods,C.R. England,notifier,Load #4303702750 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303702885,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303702885: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303703346,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303703346 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303704550,smithfield-foods,Prime Inc.,notifier,Load #4303704550: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303704792,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303704792: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303704793,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303704793 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303705893,smithfield-foods,C.R. England,notifier,Load #4303705893 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706143,smithfield-foods,Crete Carriers,notifier,Load #4303706143: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706174,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303706174 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706203,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303706203: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706848,smithfield-foods,Lazer Spot,notifier,Load #4303706848 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706849,smithfield-foods,Lazer Spot,notifier,Load #4303706849 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706857,smithfield-foods,Stevens Transport,notifier,Load #4303706857 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303706996,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303706996 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303707006,smithfield-foods,Raider Express Inc.,notifier,Load #4303707006 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303707086,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303707086 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303707561,smithfield-foods,Prime Inc.,notifier,Load #4303707561 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303707871,smithfield-foods,KLLM,notifier,Load #4303707871 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303708286,smithfield-foods,Prime Inc.,notifier,Load #4303708286 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303711224,smithfield-foods,Steam Logistics,notifier,Load #4303711224 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-03,4303711509,smithfield-foods,Prime Inc.,notifier,Load #4303711509 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303598224,smithfield-foods,Prime Inc.,notifier,Load #4303598224 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303599096,smithfield-foods,C.R. England,notifier,Load #4303599096 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303630726,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630726: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303630739,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630739: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303632330,smithfield-foods,Coyote Logistics,notifier,Load #4303632330: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303632408,smithfield-foods,Coyote Logistics,notifier,Load #4303632408: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303638772,smithfield-foods,Stevens Transport,notifier,Load #4303638772: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303656594,smithfield-foods,Traffix,notifier,Load #4303656594: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303658417,smithfield-foods,Coyote Logistics,notifier,Load #4303658417 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303658418,smithfield-foods,Coyote Logistics,notifier,Load #4303658418: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303658429,smithfield-foods,Arrive Logistics,notifier,Load #4303658429 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303658684,smithfield-foods,ST Freight LLC,notifier,Load #4303658684 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303658685,smithfield-foods,ST Freight LLC,notifier,Load #4303658685 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303664313,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303664313 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303664318,smithfield-foods,Integrity Express Logistics,notifier,Load #4303664318 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303664319,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303664319: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303664484,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303664484 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303678072,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303678072: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303682108,smithfield-foods,LHP Transportation Services,notifier,Load #4303682108 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303682211,smithfield-foods,Coyote Logistics,notifier,Load #4303682211: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303682517,smithfield-foods,RFX LLC,notifier,Load #4303682517 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303682523,smithfield-foods,LHP Transportation Services,notifier,Load #4303682523 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303682524,smithfield-foods,Coyote Logistics,notifier,Load #4303682524: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303683209,smithfield-foods,Integrity Express Logistics,notifier,Load #4303683209 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303693625,smithfield-foods,Integrity Express Logistics,notifier,Load #4303693625 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303699688,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303699688: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303703531,smithfield-foods,Buhr's Trucking,notifier,Load #4303703531: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303704189,smithfield-foods,Lazer Spot,notifier,Load #4303704189 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303705567,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303705567 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303705568,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303705568: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303705670,smithfield-foods,C.R. England,notifier,Load #4303705670 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706113,smithfield-foods,Western Provisions,notifier,Load #4303706113 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706194,smithfield-foods,C.R. England,notifier,Load #4303706194 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706203,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303706203: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706233,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303706233 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706275,smithfield-foods,"Nationwide Transportation, Inc. (NTWD)",notifier,Load #4303706275 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706886,smithfield-foods,Raider Express Inc.,notifier,Load #4303706886 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303706959,smithfield-foods,Raider Express Inc.,notifier,Load #4303706959 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303707167,smithfield-foods,Raider Express Inc.,notifier,Load #4303707167 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303707315,smithfield-foods,Prime Inc.,notifier,Load #4303707315: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303707431,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303707431 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708146,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303708146 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708600,smithfield-foods,Lazer Spot,notifier,Load #4303708600 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708608,smithfield-foods,Raider Express Inc.,notifier,Load #4303708608 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708609,smithfield-foods,Raider Express Inc.,notifier,Load #4303708609 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708611,smithfield-foods,Raider Express Inc.,notifier,Load #4303708611 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708615,smithfield-foods,Raider Express Inc.,notifier,Load #4303708615 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303708877,smithfield-foods,Prime Inc.,notifier,Load #4303708877 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303709888,smithfield-foods,C.R. England,notifier,Load #4303709888 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303710298,smithfield-foods,Prime Inc.,notifier,Load #4303710298 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303710320,smithfield-foods,Raider Express Inc.,notifier,Load #4303710320 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303710439,smithfield-foods,"McFarland Truck Lines, Inc.",notifier,Load #4303710439 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303711514,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303711514 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303711577,smithfield-foods,C.R. England,notifier,Load #4303711577 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303711599,smithfield-foods,Prime Inc.,notifier,Load #4303711599 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303711615,smithfield-foods,Prime Inc.,notifier,Load #4303711615 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,4303714221,smithfield-foods,Western Provisions,notifier,Load #4303714221 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-05,45375584,smithfield-foods,,notifier,Load #45375584 is LATE),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,34208724,smithfield-foods,,notifier,Load #0034208724: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,34211146,smithfield-foods,,notifier,Load #0034211146: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303627221,smithfield-foods,Coyote Logistics,notifier,Load #4303627221: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303627233,smithfield-foods,Coyote Logistics,notifier,Load #4303627233 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303630726,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630726: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303630728,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630728: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303630734,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303630734: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303665074,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303665074: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303673403,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303673403 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303678073,smithfield-foods,Coyote Logistics,notifier,Load #4303678073 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303682109,smithfield-foods,Lake Trucking Company,notifier,Load #4303682109 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303694382,smithfield-foods,Unlimited Logistics,notifier,Load #4303694382: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303699532,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303699532 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303699688,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303699688: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303699785,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303699785 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303699921,smithfield-foods,"McFarland Truck Lines, Inc.",notifier,Load #4303699921: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303701166,smithfield-foods,Heyl Truck Lines,notifier,Load #4303701166: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303703388,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303703388 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303703419,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303703419: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303703494,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303703494 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303703499,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303703499 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303704550,smithfield-foods,Prime Inc.,notifier,Load #4303704550: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303704793,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303704793 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705511,smithfield-foods,C.R. England,notifier,Load #4303705511 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705512,smithfield-foods,C.R. England,notifier,Load #4303705512 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705568,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303705568: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705682,smithfield-foods,C.R. England,notifier,Load #4303705682 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705684,smithfield-foods,"Corney Transportation, Inc.",notifier,Load #4303705684 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303705765,smithfield-foods,Unlimited Logistics,notifier,Load #4303705765 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303706203,smithfield-foods,Olympic Transportation Services Inc,notifier,Load #4303706203: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303706843,smithfield-foods,Raider Express Inc.,notifier,Load #4303706843 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303706845,smithfield-foods,Raider Express Inc.,notifier,Load #4303706845 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303706848,smithfield-foods,Lazer Spot,notifier,Load #4303706848 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303706958,smithfield-foods,Raider Express Inc.,notifier,Load #4303706958 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303707897,smithfield-foods,,notifier,Load #4303707897 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303708215,smithfield-foods,Raider Express Inc.,notifier,Load #4303708215 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303708536,smithfield-foods,Armour Eckrich Transportation,notifier,Load #4303708536 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303708601,smithfield-foods,Potter Transport Inc.,notifier,Load #4303708601 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303708610,smithfield-foods,Raider Express Inc.,notifier,Load #4303708610 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303709394,smithfield-foods,C.R. England,notifier,Load #4303709394 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303709422,smithfield-foods,C.R. England,notifier,Load #4303709422 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-04,4303709507,smithfield-foods,C.R. England,notifier,Load #4303709507 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,34208552,smithfield-foods,,notifier,Load #0034208552: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,34208722,smithfield-foods,,notifier,Load #0034208722: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,34212222,smithfield-foods,,notifier,Load #0034212222: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,34212678,smithfield-foods,,notifier,Load #0034212678: Secure Shipment Alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303638349,smithfield-foods,LHP Transportation Services,notifier,Load #4303638349 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658418,smithfield-foods,Coyote Logistics,notifier,Load #4303658418: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658502,smithfield-foods,ST Freight LLC,notifier,Load #4303658502 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658529,smithfield-foods,Lake Trucking Company,notifier,Load #4303658529 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658688,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303658688 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658742,smithfield-foods,Capstone Logistics,notifier,Load #4303658742 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303658743,smithfield-foods,Capstone Logistics,notifier,Load #4303658743 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303664483,smithfield-foods,John J. Jerue Truck Broker Inc.,notifier,Load #4303664483: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303682142,smithfield-foods,Lake Trucking Company,notifier,Load #4303682142 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303683212,smithfield-foods,Total Quality Logistics Inc. (TQL),notifier,Load #4303683212 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303690787,smithfield-foods,RFX LLC,notifier,Load #4303690787 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303704189,smithfield-foods,Lazer Spot,notifier,Load #4303704189: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303707416,smithfield-foods,Prime Inc.,notifier,Load #4303707416: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303707419,smithfield-foods,K and B Transportation Inc.,notifier,Load #4303707419 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303707424,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303707424 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303707559,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303707559 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303708698,smithfield-foods,DJM Logistics/MoLo Solutions,notifier,Load #4303708698 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303708851,smithfield-foods,Coyote Logistics,notifier,Load #4303708851: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303709036,smithfield-foods,Buhr's Trucking,notifier,Load #4303709036 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303709786,smithfield-foods,Knight Transportation,notifier,Load #4303709786 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710271,smithfield-foods,Prime Inc.,notifier,Load #4303710271 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710304,smithfield-foods,Prime Inc.,notifier,Load #4303710304 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710310,smithfield-foods,Raider Express Inc.,notifier,Load #4303710310 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710317,smithfield-foods,Raider Express Inc.,notifier,Load #4303710317 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710318,smithfield-foods,Raider Express Inc.,notifier,Load #4303710318 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710319,smithfield-foods,Prime Inc.,notifier,Load #4303710319 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710324,smithfield-foods,Raider Express Inc.,notifier,Load #4303710324 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303710439,smithfield-foods,"McFarland Truck Lines, Inc.",notifier,Load #4303710439: No new updates alert),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303711512,smithfield-foods,Prime Inc.,notifier,Load #4303711512 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303712104,smithfield-foods,C.R. England,notifier,Load #4303712104 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303712374,smithfield-foods,Hirschbach Motor Lines Inc,notifier,Load #4303712374 is not picked up),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303712380,smithfield-foods,Coyote Logistics,notifier,Load #4303712380 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303712670,smithfield-foods,Prime Inc.,notifier,Load #4303712670 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303713081,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303713081 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303713198,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303713198 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303713199,smithfield-foods,C.R. England,notifier,Load #4303713199 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,4303713268,smithfield-foods,Pro Transport and Leasing,notifier,Load #4303713268 is not assigned tracking\\r),,,SUCCESS,DETAILS_EXTRACTED,,
2024-11-06,45375589,smithfield-foods,,notifier,Load #45375589 is VERY LATE),,,SUCCESS,DETAILS_EXTRACTED,,
